key,country,classification,common_name_french_CM_doc,common_name_english_CM_doc,scientific_name_CM_doc,scientific_name_CM_final,category,common_name_french_wikipedia,common_name_french_IUCN,Fr_common_name_display_CM_final,common_name_prov,comment,scientific_name_label,document_title,date_of_law,source_document,source_type,source_link,source_accessed
296,CM,B,Malimbe de Rachel,Rachel's Malimbe,Malimbus racheliae,Malimbus racheliae,LC,,Malimbe de Rachel,Malimbe de Rachel,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
297,CM,B,Martinet de Bates,Bates's Swift,Apus batesi,Apus batesi,LC,,Martinet de Bates,Martinet de Bates,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
298,CM,B,Martinet de Chapin,Black Spinetail,Telacanthura melanopygia,Telacanthura melanopygia,LC,,Martinet de Chapin,Martinet de Chapin,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
299,CM,B,Martinet de Fernando Po,Fernando Po Swift,Apus sladeniae,Apus sladeniae,DD,,Martinet de Fernando Po,Martinet de Fernando Po,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
300,CM,B,Martinet de Shoa,Scace Swift,Schoutedenapus myoptilus,Schoutedenapus myoptilus,LC,,Martinet de Shoa,Martinet de Shoa,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
301,CM,B,Martinet du Cap,African black Swift,Apus barbatus,Apus barbatus,LC,,Martinet noir africain,Martinet noir africain,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
302,CM,B,Martinet Horus,Horus Swift,Apus horus,Apus horus,LC,,Martinet horus,Martinet horus,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
303,CM,B,Milan des chauves-souris,Bat Hawk,Macheiramphus alcinus,Macheiramphus alcinus,LC,,Faucon des chauves-souris,Faucon des chauves-souris,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
304,CM,B,Outarde à ventre noir,Black-bellied Bustard,Lissotis melanogaster,Lissotis melanogaster,LC,,Outarde à ventre noire,Outarde à ventre noire,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
305,CM,B,Outarde arabe,Arabian Bustard,Ardeotis arabs,Ardeotis arabs,NT,,Outarde arabe,Outarde arabe,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
306,CM,B,Outarde de Savile,Savile's Bustard,Lophotis savilei,Lophotis savilei,LC,Outarde de Savile,N/A,Outarde de Savile,FrWiki,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
307,CM,B,Outarde du Sénégal,White-bellied Bustard,Eupodotis senegalensis,Eupodotis senegalensis,LC,Outarde du Sénégal,Outarde du Sénégal,Outarde du Sénégal,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
308,CM,B,Palmiste africain,Palm-nut Vulture,Gypohierax angolensis,Gypohierax angolensis,LC,,Vautour palmiste,Vautour palmiste,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
309,CM,B,Perroquet de Meyer,Meyer's parrot,Poicephalus meyeri,Poicephalus meyeri,LC,,Perroquet de Meyer,Perroquet de Meyer,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
310,CM,B,Perroquet vert,Niam Niam Parrot,Poicephalus crassus,Poicephalus crassus,LC,Perroquet des Niam-niams,Perroquet des Niam-niam,Perroquet des Niam-niam,IUCN,,Not extant in country,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
311,CM,B,Perroquet youyou,Senegal Parrot,Poicephalus senegalus,Poicephalus senegalus,LC,"Perroquet youyou, Youyou du Sénégal",Perroquet youyou,Perroquet youyou,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
312,CM,B,Perruche a collier,rose-ringed Parakeet,Psittacula krameri,,,,,,,Duplicate of 89,Duplicate,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
313,CM,B,Petit-duc à bec jaune,Sandy Scops Owl,Otus icterorhynchus,Otus icterorhynchus,LC,,Petit-Duc à bec jaune,Petit-Duc à bec jaune,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
314,CM,B,Petit-duc à face blanche,White-faced Scops Owl,Otus leucotis,Ptilopsis leucotis,LC,,N/A,Petit-duc à face blanche,FrWiki,,Re-classified,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
315,CM,B,Petit-duc scops,European Scops Owl,Otus scops,Otus scops,LC,,Hibou Petit-duc,Hibou Petit-duc,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
316,CM,B,Pigeon du Cameroun,Cameroon Olive Pigeon,Columba sjostedti,Columba sjostedti,LC,Pigeon du Cameroun,N/A,Pigeon du Cameroun,FrWiki,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
317,CM,B,Pintade noire,Black Guineafowl,agelaster niger,Agelastes niger,LC,,Pintade noire,Pintade noire,IUCN,,Typo,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
318,CM,B,Prinia verte,Green Longtail,Urolais epichlora,Urolais epichlorus,LC,,Fauvette verte à longue queue,Fauvette verte à longue queue,IUCN,,Re-classified,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
319,CM,B,Pygargue vocifer,African Fish Eagle,Haliaeetus vocifer,Haliaeetus vocifer,LC,,Aigle pêcheur,Aigle pêcheur,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
320,CM,B,Souimanga à tête bleue,Cameroon Blue-headed Sunbird,Nectarinia oritis,Cyanomitra oritis,LC,,Souimanga à tête bleue,Souimanga à tête bleue,IUCN,,Re-classified,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
321,CM,B,Spatule d'Afrique,African Spoonbill,Platalea alba,Platalea alba,LC,,Spatule d'Afrique,Spatule d'Afrique,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
322,CM,B,Touraco à gros bec,Yellow-billed Turaco,Tauraco macrorhynchus,Tauraco macrorhynchus,LC,Touraco à gros bec,Touraco à gros bec,Touraco à gros bec,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
323,CM,B,Touraco à huppe blanche,White-crested Turaco,Tauraco leucolophus,Tauraco leucolophus,LC,Touraco à huppe blanche,Touraco à huppe blanche,Touraco à huppe blanche,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
324,CM,B,Touraco de Lady Ross,Ross's Turaco,Musophaga rossae,Musophaga rossae,LC,,Touraco de Lady Ross,Touraco de Lady Ross,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
325,CM,B,Vautour à tête blanche,White-headed Vulture,Trigonoceps occipitalis,Trigonoceps occipitalis,CR,,Vautour à tête blanche,Vautour à tête blanche,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
326,CM,B,Vautour africain,African White-backed Vulture,Gyps africanus,Gyps africanus,CR,,"Gyps africain, Vautour africain",Vautour africain,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
327,CM,B,Vautour charognard,Hooded Vulture,Necrosyrtes monachus,Necrosyrtes monachus,CR,,"Percnoptère brun, Vautour charognard",Vautour charognard,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
328,CM,B,Vautour de Rüppell,Rüppell's Vulture,Gyps rueppellii,Gyps rueppellii,CR,,Vautour de Rüppell,Vautour de Rüppell,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
329,CM,B,Vautour percnoptère,Egyptian Vulture,Neophron percnopterus,Neophron percnopterus,EN,,Vautour Percnoptère,Vautour Percnoptère,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
330,CM,B,Agame de Mehaly (Lézard Agama),Agama lizard,Agama mehelyi,Agama anchietae,LC,N/A,N/A,Agame de Mehaly (Lézard Agama),National Species Law,"by FrWiki, Agama mehelyi is a synonym; by IUCN, not extant in CM",Not extant in country && Re-classified,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
331,CM,B,Boa des sables de Müller,Müller's sand boa,Gongylophis muelleri,Eryx muelleri,LC,N/A,N/A,Boa des sables de Müller,National Species Law,,Re-classified,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
332,CM,B,Caméléon à 3 cornes,Owen's three-horned chamaleon,Chamaeleo oweni,Trioceros oweni,LC,,Caméléon d’Owen,Caméléon d’Owen,IUCN,,Re-classified,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
333,CM,B,Caméléon à cape,Flap necked chamaleon,Chamaeleo dilepis dilepis,Chamaeleo dilepis,LC,Caméléon Bilobé,N/A,Caméléon Bilobé,FrWiki,IUCN no longer recognizes subspecies pending a re-evaluation,Refined from subspecies,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
334,CM,B,Caméléon à crête,Crested chamaleon,Chamaeleo cristatus,Trioceros cristatus,LC,N/A,N/A,Caméléon à crête,National Species Law,,Re-classified,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
335,CM,B,Caméléon africain (Caméléons),African chameleon,Chamaeleo africanus,Chamaeleo africanus,LC,Caméléon africain,N/A,Caméléon africain,FrWiki,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
336,CM,B,Caméléon de montagne,Cameroon saiffin chamaleon,Chamaeleo montium,Trioceros montium,NT,N/A,N/A,Caméléon de montagne,National Species Law,,Re-classified,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
337,CM,B,Caméléon de Weindersheim du Nord,Mount Lefo chamaleon,Chamaeleo weindersheimi wiedersheimi,Trioceros wiedersheimi,DD,N/A,N/A,Caméléon de Weidersheim du Nord,National Species Law,this species seems to have been re-classified but is vague; expert opinion needed,Typo && Re-classified,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
338,CM,B,Caméléon du Cameroun,Cameroon chameleon,Chamaeleo camerunensis,Trioceros camerunensis,LC,N/A,N/A,Caméléon du Cameroun,National Species Law,,Re-classified,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
339,CM,B,Caméléon du Sénégal,Senegal chamaleon,Chamaeleo senegalensis,Chamaeleo senegalensis,LC,Caméléon du Sénégal,N/A,Caméléon du Sénégal,FrWiki,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
340,CM,B,Caméléon gracile,Graceful chamaleon,Chamaeleo gracilis gracilis,Chamaeleo gracilis,LC,Caméléon d'Afrique,N/A,Caméléon d'Afrique,FrWiki,"IUCN does not recognize subspecies, although FrWiki shows a nominate and one other ssp.",Refined from subspecies,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
341,CM,B,Caméléon nain,Dwarf chamaleon,Rhampholeon spectrum spectrum,Rhampholeon spectrum,LC,N/A,N/A,Caméléon nain,National Species Law,Neither IUCN nor FrWiki mention any ssp.,Refined from subspecies,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
342,CM,B,Cnemaspis de Perret (Gecko),Cnemaspis gigas,Cnemaspis dilepis,Cnemaspis dilepis,NT,N/A,N/A,Cnemaspis de Perret,National Species Law,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
343,CM,B,Cobra cracheur à cou noir,Black cobra,Naja nigricollis nigricollis,Naja nigricollis,LC,Cobra cracheur à cou noir,N/A,Cobra cracheur à cou noir,FrWiki,Neither IUCN nor FrWiki mention any ssp.,Refined from subspecies,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
344,CM,B,Cobra cracheur de kati,Spitting cobra,Naja katiensis,Naja katiensis,LC,N/A,N/A,Cobra cracheur de kati,National Species Law,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
345,CM,B,"Cobra de foret, cobra noir et blanc",Black mamba,Naja melanoleuca,Naja melanoleuca,LC,"Cobra des forêts, Cobra noir et blanc",N/A,"Cobra des forêts, Cobra noir et blanc",FrWiki,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
346,CM,B,Cobra egyptien,Egyptian cobra,Naja haje haje,Naja haje,LC,Cobra égyptien,N/A,Cobra égyptien,FrWiki,Neither IUCN nor FrWiki mention any ssp.,Refined from subspecies,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
347,CM,B,Cobra fouisseur,Burrowing cobra,Paranaja multifasciata anomala,Naja multifasciata,LC,N/A,N/A,Cobra fouisseur,National Species Law,Neither IUCN nor FrWiki have a record of genus Paranaja; FrWiki mentions the ssp. anomala but IUCN does not,Re-classified,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
348,CM,B,Faux cobra de goldi,Green cobra,Pseudohaje goldii,Pseudohaje goldii,LC,N/A,N/A,Faux cobra de goldi,National Species Law,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
349,CM,B,Faux cobra de goldi,Green cobra,Pseudohaje goldii,,,,,,,Duplicate of 348,Duplicate,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
350,CM,B,Gecko africain à queue grasse,African fatty tail Gecko,Hemitheconyx caudicinctus,Hemitheconyx caudicinctus,LC,N/A,N/A,Gecko africain à queue grasse,National Species Law,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
351,CM,B,Gecko arboricole de Weiler,Aboreal Gecko,Urocotyledon weileri,Urocotyledon weileri,EN,N/A,N/A,Gecko arboricole de Weiler,National Species Law,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
352,CM,B,Gecko arboricole palmé,Palm dwelling Gecko,Urocotyledon palmatus,Urocotyledon palmata,DD,N/A,N/A,Gecko arboricole palmé,National Species Law,,Typo,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
353,CM,B,Gran gerrhosaure,NULL,Gerrhosaurus major zechi,Broadleysaurus major,LC,N/A,N/A,Gran gerrhosaure,National Species Law,,Re-classified,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
354,CM,B,Kinixys de Home,Kinixys,Kinixys homeana,Kinixys homeana,CR,N/A,Kinixys de Home,Kinixys de Home,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
355,CM,B,Kinixys rongée,Common tortoise,Kinixys erosa,Kinixys erosa,DD,,"Kinixys rongée, Tortue articulée d'Afrique",Kinixys rongée,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
356,CM,B,Lygodactyle de Perret,Stone lygodactyle,Lygodactylus dysmicus,Lygodactylus gutturalis,LC,N/A,N/A,Lygodactyle de Perret,National Species Law,"given name omits species but includes ssp., which is mentioned in FrWiki but not IUCN",Typo,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
357,CM,B,NULL,African burrowing python,Calabaria reinhardti,Calabaria reinhardtii,LC,Calabare de Reinhardt,N/A,Calabare de Reinhardt,FrWiki,,Typo,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
358,CM,B,Python de Sébae,African python,Python sebae sebae,Python sebae,NT,Python de Seba,N/A,Python de Seba,FrWiki,,Refined from subspecies,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
359,CM,B,Python royale,Royal python,Python regius,Python regius,LC,Python royal,Python Royal,Python royal,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
360,CM,B,Scinque à oeil de serpent d'Afrique,African snake eyed skink,Afroablepharus duruarum,Panaspis duruarum,DD,N/A,N/A,Scinque à oeil de serpent d'Afrique,National Species Law,,Re-classified,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
361,CM,B,Scinque à vingt raies,Striped skink,Letposaiphos vigintiserierum,Leptosiaphos vigintiserierum,NT,N/A,N/A,Scinque à vingt raies,National Species Law,,Typo,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
362,CM,B,Scinque d'Amiet,Amiet skink,Letposaiphos amieti,Leptosiaphos amieti,VU,N/A,N/A,Scinque d'Amiet,National Species Law,,Typo,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
363,CM,B,Scinque de Chris Wild,Chris wild skink,Lacertaspis chriswildi,Lacertaspis chriswildi,NT,N/A,N/A,Scinque de Chris Wild,National Species Law,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
364,CM,B,Scinque de Chris Wild,Chris wild skink,Lacertaspis chriswildi,,,,,,,Duplicate of 363,Duplicate,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
365,CM,B,Scinque de Fuhn,Fuhn skink,Leptosaiphos fuhni,Leptosiaphos fuhni,DD,N/A,N/A,Scinque de Fuhn,National Species Law,,Typo,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
366,CM,B,Scinque de Koutou,Koutou skink,Leptosaiphos koutoui,Leptosiaphos koutoui,DD,N/A,N/A,Scinque de Koutou,National Species Law,,Typo,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
367,CM,B,Scinque de Paulian,Paulian skink,Leptosaiphos pauliani,Leptosiaphos pauliani,EN,N/A,N/A,Scinque de Paulian,National Species Law,,Typo,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
368,CM,B,Scinque jaune et violet,Yellow and purple skink,Leptosaiphos iantinoxantha,Leptosiaphos ianthinoxantha,VU,N/A,N/A,Scinque jaune et violet,National Species Law,,Typo,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
