key,country,classification,common_name_french_CM_doc,common_name_english_CM_doc,scientific_name_CM_doc,scientific_name_CM_final,category,common_name_french_wikipedia,common_name_french_IUCN,Fr_common_name_display_CM_final,common_name_prov,comment,scientific_name_label,document_title,date_of_law,source_document,source_type,source_link,source_accessed
243,CM,B,Buse féroce,Long-legged Buzzard,Buteo rufinus,Buteo rufinus,LC,Buse féroce,N/A,Buse féroce,National Species Law,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
244,CM,B,Buse variable,Common Buzzard,Buteo buteo,Buteo buteo,LC,Buse variable,N/A,Buse variable,National Species Law,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
245,CM,B,Canard à bosse,Knob-billed Duck,Sarkidiornis melanotos,Sarkidiornis melanotos,LC,"Canard à bosse, Sarcidiorne à bosse, Canard-à-bosse bronzé, Canard casqué",N/A,Canard à bosse,National Species Law,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
246,CM,B,Canard à bosse,Knob-billed Duck,Sarkidiornis melanotos,,,,,,,Duplicate of 245,Duplicate,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
247,CM,B,Canard de Hartlaub,Hartlaub's Duck,Pteronetta hartlaubii,Pteronetta hartlaubii,LC,Canard de Hartlaub,"Canard de Hartlaub, Ptéronette de Hartlaub",Canard de Hartlaub,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
248,CM,B,Chevêchette à pieds jaunes,Red-chested Owlet,Glaucidium tephronotum,Glaucidium tephronotum,LC,,Chevêchette à pieds jaunes,Chevêchette à pieds jaunes,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
249,CM,B,Chevêchette à queue barrée,Sjöstedt's Barred Owlet,Glaucidium sjostedti,Glaucidium sjostedti,LC,,Chevêchette à queue barrée,Chevêchette à queue barrée,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
250,CM,B,Chevêchette du Cap,African Barred Owlet,Glaucidium capense,Glaucidium capense,LC,Chevêchette du Cap,N/A,Chevêchette du Cap,FrWiki,,Not extant in country,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
251,CM,B,Chevêchette perlée,Pearl-spotted Owlet,Glaucidium perlatum,Glaucidium perlatum,LC,,Chevêchette perlée,Chevêchette perlée,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
252,CM,B,Chouette africaine,African Wood Owl,Strix woodfordii,Strix woodfordii,LC,,Hulotte africaine,Hulotte africaine,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
