scientific_name,Common Name,Species Class,Threat Class
Cyclanorbis senegalensis,Senegal Flapshell Turtle,REPTILIA,VU
Damaliscus lunatus,Topi,MAMMALIA,LC
Damaliscus lunatus ssp. korrigum,Korrigum,MAMMALIA,EN
Damaliscus lunatus ssp. jimela,Topi,MAMMALIA,VU
Delanymys brooksi,Delany's Swamp Mouse,MAMMALIA,VU
Delphinus delphis,Short-beaked Common Dolphin,MAMMALIA,LC
Delphinus capensis,Long-beaked Common Dolphin,MAMMALIA,DD
Dendrohyrax arboreus,Southern Tree Hyrax,MAMMALIA,LC
Dendrohyrax dorsalis,Western Tree Hyrax,MAMMALIA,LC
Dendromus kahuziensis,Mt. Kahuzi Climbing Mouse,MAMMALIA,CR
Dendromus oreas,Cameroon Climbing Mouse,MAMMALIA,LC
Dendroprionomys rousseloti,Velvet African Climbing Mouse,MAMMALIA,DD
Dermochelys coriacea,Leatherback,REPTILIA,VU
Diceros bicornis,Black Rhino,MAMMALIA,CR
Eidolon helvum,African Straw-coloured Fruit-bat,MAMMALIA,NT
Epixerus ebii,Western Palm Squirrel,MAMMALIA,LC
Epomophorus grandis,Lesser Angolan Epauletted Fruit Bat,MAMMALIA,DD
Epomophorus gambianus,Gambian Epauletted Fruit Bat,MAMMALIA,LC
Epomophorus wahlbergi,Wahlberg's Epauletted Fruit Bat,MAMMALIA,LC
Epomops dobsonii,Dobson's Fruit Bat,MAMMALIA,LC
Eretmochelys imbricata,Hawksbill Turtle,REPTILIA,CR
Erythrocebus patas,Patas Monkey,MAMMALIA,LC
Euoticus elegantulus,Southern Needle-clawed Galago,MAMMALIA,LC
Euoticus pallidus,Northern Needle-clawed Galago,MAMMALIA,LC
Feresa attenuata,Pygmy Killer Whale,MAMMALIA,LC
Sciurocheirus alleni,Allen's Galago,MAMMALIA,LC
Galago matschiei,Spectacled Lesser Galago,MAMMALIA,LC
Galago moholi,Southern Lesser Galago,MAMMALIA,LC
Galago senegalensis,Northern Lesser Galago,MAMMALIA,LC
Eudorcas rufifrons,Red-fronted Gazelle,MAMMALIA,VU
Genetta cristata,Crested Genet,MAMMALIA,VU
Giraffa camelopardalis,Giraffe,MAMMALIA,VU
Globicephala macrorhynchus,Short-finned Pilot Whale,MAMMALIA,LC
Gorilla gorilla,Western Gorilla,MAMMALIA,CR
Gorilla gorilla ssp. gorilla,Western Lowland Gorilla,MAMMALIA,CR
Grammomys dolichurus,Woodland Thicket Rat,MAMMALIA,LC
Grammomys dryas,Forest Thicket Rat,MAMMALIA,LC
Grampus griseus,Risso's Dolphin,MAMMALIA,LC
Graphiurus crassicaudatus,Jentink's Dormouse,MAMMALIA,DD
Graphiurus kelleni,Kellen's Dormouse,MAMMALIA,LC
Graphiurus surdus,Silent Dormouse,MAMMALIA,DD
Heliophobius argenteocinereus,Silvery Mole Rat,MAMMALIA,LC
Heliosciurus gambianus,Gambian Sun Squirrel,MAMMALIA,LC
Heliosciurus rufobrachium,Red-legged Sun Squirrel,MAMMALIA,LC
Heterohyrax brucei,Bush Hyrax,MAMMALIA,LC
Hippopotamus amphibius,Hippopotamus,MAMMALIA,VU
Hipposideros abae,Aba Roundleaf Bat,MAMMALIA,LC
Hipposideros beatus,Benito Roundleaf Bat,MAMMALIA,LC
Hipposideros caffer,Sundevall's Roundleaf Bat,MAMMALIA,LC
Hipposideros camerunensis,Greater Roundleaf Bat,MAMMALIA,DD
Hipposideros curtus,Short-tailed Roundleaf Bat,MAMMALIA,VU
Hipposideros cyclops,Cyclops Roundleaf Bat,MAMMALIA,LC
Hipposideros fuliginosus,Sooty Roundleaf Bat,MAMMALIA,LC
Hipposideros ruber,Noack's Roundleaf Bat,MAMMALIA,LC
