scientific_name,Common Name,Species Class,Threat Class
Cardioglossa venusta,Highland Long-fingered Frog,AMPHIBIA,EN
Arthroleptis xenochirus,Marimba Screeching Frog ,AMPHIBIA,LC
Astylosternus batesi,Benito River Night Frog,AMPHIBIA,LC
Astylosternus diadematus,Victoria Night Frog,AMPHIBIA,LC
Astylosternus fallax,Fopouanga Night Frog,AMPHIBIA,VU
Astylosternus laurenti,Laurent's Night Frog,AMPHIBIA,EN
Astylosternus montanus,Mountain Night Frog ,AMPHIBIA,LC
Astylosternus nganhanus,Nganha Night Frog,AMPHIBIA,CR
Astylosternus perreti,Perret's Night Frog,AMPHIBIA,EN
Astylosternus ranoides,Central Night Frog,AMPHIBIA,EN
Astylosternus rheophilus,Cameroon Range Night Frog,AMPHIBIA,NT
Astylosternus schioetzi,Apouh Night Frog,AMPHIBIA,EN
Leptodactylodon albiventris,Whitebelly Egg Frog,AMPHIBIA,EN
Leptodactylodon bicolor,Mountain Egg Frog,AMPHIBIA,NT
Leptodactylodon boulengeri,Boulenger's Egg Frog,AMPHIBIA,NT
Leptodactylodon erythrogaster,Redbelly Egg Frog,AMPHIBIA,CR
Leptodactylodon mertensi,Mertens' Egg Frog,AMPHIBIA,EN
Leptodactylodon ornatus,Ornate Egg Frog,AMPHIBIA,EN
Leptodactylodon ovatus,Cameroon Egg Frog,AMPHIBIA,LC
Leptodactylodon perreti,Perret's Egg Frog ,AMPHIBIA,EN
Leptodactylodon polyacanthus,African Egg Frog,AMPHIBIA,VU
Leptodactylodon ventrimarmoratus,Speckled Egg Frog,AMPHIBIA,VU
Scotobleps gabonicus,Gaboon Forest Frog ,AMPHIBIA,LC
Trichobatrachus robustus,Hairy Frog,AMPHIBIA,LC
Sclerophrys buchneri,Buchner's Toad ,AMPHIBIA,DD
Sclerophrys camerunensis,Oban Toad,AMPHIBIA,LC
Sclerophrys gracilipes,French Congo Toad,AMPHIBIA,LC
Sclerophrys kisoloensis,Kisolo Toad,AMPHIBIA,LC
Sclerophrys latifrons,High Tropical Forest Toad,AMPHIBIA,LC
Sclerophrys pentoni,Penton's Toad,AMPHIBIA,LC
Sclerophrys steindachneri,Steindachner's Toad,AMPHIBIA,LC
Sclerophrys villiersi,Villiers' Toad,AMPHIBIA,VU
Sclerophrys xeros,Subsaharan Toad,AMPHIBIA,LC
Didynamipus sjostedti,Four-digit Toad,AMPHIBIA,VU
Werneria bambutensis,Bamboutos Smalltongue Toad,AMPHIBIA,CR
Werneria mertensiana,Mertens' Smalltongue Toad,AMPHIBIA,CR
Werneria preussi,Buea Smalltongue Toad,AMPHIBIA,EN
Werneria tandyi,Tandy's Smalltongue Toad,AMPHIBIA,CR
Wolterstorffina mirei,Mount Okou Wolterstorff Toad,AMPHIBIA,EN
Wolterstorffina parvipalmata,Cameroon Wolterstorff Toad,AMPHIBIA,CR
Hemisus guineensis,Guinea Snout-burrower,AMPHIBIA,LC
Hemisus marmoratus,Marbled Snout-burrower,AMPHIBIA,LC
Hemisus perreti,Perret’s Shovelnose Frog,AMPHIBIA,LC
Hemisus wittei,De Witte’s Snout-burrower,AMPHIBIA,DD
Acanthixalus spinosus,African Wart Frog,AMPHIBIA,LC
Afrixalus lacteus,Cameroon Banana Frog ,AMPHIBIA,EN
Afrixalus schneideri,Schneider's Banana Frog,AMPHIBIA,DD
Afrixalus weidholzi,Weidholz's Banana Frog,AMPHIBIA,LC
Arlequinus krebsi,Mebebque Frog,AMPHIBIA,EN
Hyperolius koehleri,Koehler's Green Frog,AMPHIBIA,LC
Chrysobatrachus cupreonitens,Itombwe Golden Frog,AMPHIBIA,EN
Hyperolius acutirostris,Sharpsnout Reed Frog,AMPHIBIA,LC
Hyperolius ademetzi,Bamenda Reed Frog,AMPHIBIA,EN
Hyperolius benguellensis,Benguella Long Reed Frog,AMPHIBIA,LC
Hyperolius bopeleti,Dizangue Reed Frog,AMPHIBIA,VU
Hyperolius chrysogaster,Goldbelly Reed Frog,AMPHIBIA,NT
Hyperolius endjami,Yaounde Reed Frog,AMPHIBIA,LC
Hyperolius frontalis,Bushoho Reed Frog,AMPHIBIA,LC
Hyperolius fusciventris,Lime Reed Frog,AMPHIBIA,LC
Hyperolius guttulatus,Dotted Reed Frog,AMPHIBIA,LC
Hyperolius kibarae,Shaba Reed Frog,AMPHIBIA,DD
Hyperolius leleupi,Luvubu Reed Frog,AMPHIBIA,EN
Hyperolius leucotaenius,White-striped Reed Frog,AMPHIBIA,EN
Hyperolius polli,Tshimbulu Reed Frog,AMPHIBIA,DD
Hyperolius polystictus,Falls Reed Frog,AMPHIBIA,VU
Hyperolius riggenbachi,Riggenbach's Reed Frog,AMPHIBIA,LC
Hyperolius sankuruensis,Omaniundu Reed Frog,AMPHIBIA,DD
Hyperolius sylvaticus,Bobiri Reed Frog,AMPHIBIA,LC
Hyperolius tuberculatus,Rainforest Reed Frog,AMPHIBIA,LC
Kassina cassinoides,Silver Running Frog,AMPHIBIA,LC
Kassina maculosa,Marbled Running Frog,AMPHIBIA,LC
Kassina mertensi,Mertens' Running Frog,AMPHIBIA,LC
Kassina senegalensis,Senegal Land Frog,AMPHIBIA,LC
Leptopelis modestus,Modest Forest Treefrog,AMPHIBIA,LC
Leptopelis rufus,Red Treefrog,AMPHIBIA,LC
Phlyctimantis leonardi,Olive Striped Frog ,AMPHIBIA,LC
Cacosternum leleupi,Katanga Metal Frog,AMPHIBIA,DD
Phrynobatrachus africanus,African Swamp Frog,AMPHIBIA,LC
Petropedetes cameronensis,Cameroon Water Frog,AMPHIBIA,LC
Petropedetes johnstoni,Johnston's Water Frog,AMPHIBIA,NT
Petropedetes newtoni,Newton's Water Frog,AMPHIBIA,LC
Petropedetes palmipes,Efulen Water Frog,AMPHIBIA,VU
Petropedetes perreti,Perret's Water Frog,AMPHIBIA,EN
Phrynobatrachus acutirostris,Rugegewald River Frog ,AMPHIBIA,NT
Phrynobatrachus asper,Itombwe River Frog,AMPHIBIA,VU
Phrynobatrachus auritus,Eared River Frog,AMPHIBIA,LC
Phrynobatrachus bequaerti,Vissoke River Frog,AMPHIBIA,LC
Phrynobatrachus calcaratus,Boutry River Frog,AMPHIBIA,LC
Phrynobatrachus cricogaster,Nkongsamba River Frog ,AMPHIBIA,NT
Phrynobatrachus gutturosus,Chabanaud's River Frog,AMPHIBIA,LC
Phrynobatrachus mababiensis,Mababe Puddle Frog,AMPHIBIA,LC
Phrynobatrachus manengoubensis,Manengouba River Frog,AMPHIBIA,CR
Phrynobatrachus versicolor,Rwanda River Frog,AMPHIBIA,LC
Hymenochirus curtipes,Western Dwarf Clawed Frog,AMPHIBIA,LC
Xenopus amieti,Volcano Clawed Frog,AMPHIBIA,VU
Xenopus boumbaensis,Mawa Clawed Frog,AMPHIBIA,NT
Xenopus laevis,African Clawed Frog,AMPHIBIA,LC
Xenopus longipes,Lake Oku Clawed Frog,AMPHIBIA,CR
Xenopus pygmaeus,Bouchia Clawed Frog,AMPHIBIA,LC
Amietia desaegeri,De Saeger's River Frog,AMPHIBIA,LC
Amietia ruwenzorica,Ruwenzori River Frog,AMPHIBIA,LC
Amnirana amnicola,Ilanga Frog ,AMPHIBIA,LC
Amnirana asperrima,Nkongsamba Frog,AMPHIBIA,VU
Amnirana longipes,Bamileke Plateau Frog,AMPHIBIA,LC
Conraua crassipes,Abo Slippery Frog,AMPHIBIA,LC
Conraua robusta,Cameroon Slippery Frog,AMPHIBIA,VU
Hildebrandtia ornata,African Ornate Frog,AMPHIBIA,LC
Hoplobatrachus occipitalis,African Groove-crowned Frog,AMPHIBIA,LC
Ptychadena aequiplicata,Victoria Grassland Frog,AMPHIBIA,LC
Ptychadena anchietae,Plain Grass Frog,AMPHIBIA,LC
Ptychadena bibroni,Broad-banded Grass Frog,AMPHIBIA,LC
Ptychadena christyi,Christy's Grassland Frog,AMPHIBIA,LC
Ptychadena oxyrhynchus,Sharp-nosed Frog,AMPHIBIA,LC
Ptychadena perreti,Perret's Grassland Frog,AMPHIBIA,LC
Ptychadena porosissima,Grassland Ridged Frog,AMPHIBIA,LC
Ptychadena taenioscelis,Dwarf Grass Frog,AMPHIBIA,LC
Ptychadena trinodis,Dakar Grassland Frog,AMPHIBIA,LC
Chiromantis rufescens,African Foam-nest Treefrog,AMPHIBIA,LC
Geotrypetes seraphini,Gaboon Caecilian,AMPHIBIA,LC
Herpele multiplicata,Victoria Caecilian,AMPHIBIA,DD
Herpele squalostoma,Congo Caecilian,AMPHIBIA,LC
Idiocranium russeli,Makamunu Assumbo Caecilian,AMPHIBIA,DD
Crotaphatrema bornmuelleri,Bornmüller's Caecilian,AMPHIBIA,DD
Crotaphatrema lamottei,Mount Oku Caecilian,AMPHIBIA,CR
Hyperolius igbettensis,Igbetti Long Reed Frog,AMPHIBIA,LC
Trionyx triunguis,African Softshell Turtle,REPTILIA,VU
Hipposideros vittatus,Striped Leaf-nosed Bat,MAMMALIA,NT
Kassina decorata,Decorated Running Frog,AMPHIBIA,VU
Xenopus victorianus,Mwanza Frog,AMPHIBIA,LC
Hyperolius nasicus,Pointed Long Reed Frog,AMPHIBIA,LC
Chlorocebus tantalus,Tantalus Monkey,MAMMALIA,LC
Sciurocheirus gabonensis,Gabon Squirrel Galago,MAMMALIA,LC
Chlorocebus cynosuros,Malbrouck Monkey,MAMMALIA,LC
Genetta poensis,King Genet,MAMMALIA,DD
Homo sapiens,Human,MAMMALIA,LC
Cercocebus agilis,Agile Mangabey,MAMMALIA,LC
Lophuromys eisentrauti,Mount Lefo Brush-furred Rat,MAMMALIA,CR
Pipistrellus hesperidus,African pipistrelle,MAMMALIA,LC
Papio kindae,Kinda Baboon,MAMMALIA,LC
Perodicticus edwardsi,Milne-Edwards's Potto,MAMMALIA,LC
Damaliscus lunatus ssp. superstes,Bangweulu Tsessebe,MAMMALIA,VU
Cercopithecus mitis ssp. doggetti,Doggett’s Blue Monkey,MAMMALIA,LC
Cercopithecus ascanius ssp. katangae,Katanga Red-tailed Monkey,MAMMALIA,LC
Perodicticus ibeanus,East African Potto,MAMMALIA,LC
Cephalophus ogilbyi ssp. ogilbyi,Ogilby's Duiker,MAMMALIA,VU
Cercopithecus denti,Dent’s Monkey,MAMMALIA,LC
Cercopithecus ascanius ssp. ascanius,Black-cheeked Red-tailed Monkey,MAMMALIA,LC
Colobus guereza ssp. occidentalis,Western Guereza,MAMMALIA,LC
Lophocebus aterrimus ssp. aterrimus,Northern Black Crested Mangabey,MAMMALIA,VU
Cercopithecus ascanius ssp. schmidti,Schmidt's Red-tailed Monkey,MAMMALIA,LC
Kobus leche ssp. anselli,Upemba Lechwe,MAMMALIA,CR
Cercopithecus pogonias ssp. nigripes,Black-footed Crowned Monkey,MAMMALIA,NT
Aepyceros melampus ssp. melampus,Common Impala,MAMMALIA,LC
Cercopithecus ascanius ssp. whitesidei,Orange-nosed Red-tailed Monkey,MAMMALIA,LC
Chamaeleo africanus,Basilisk Chameleon,REPTILIA,LC
Pelusios niger,West African Black Mud Turtle,REPTILIA,NT
Cycloderma aubryi,Aubry's Flapshell Turtle,REPTILIA,VU
Stigmochelys pardalis,Leopard Tortoise,REPTILIA,LC
Phrynobatrachus latifrons,Ahl's River Frog,AMPHIBIA,LC
Acanthocercus atricollis,Black-necked Agama,REPTILIA,LC
Trioceros schoutedeni,Schoutenden's Montane Dwarf Chameleon,REPTILIA,DD
Rhampholeon boulengeri,Boulenger’s Pygmy Chameleon,REPTILIA,LC
Trioceros rudis,Rwenzori Bearded Chameleon,REPTILIA,LC
Chamaeleo gracilis,Slender Chameleon,REPTILIA,LC
Trioceros wiedersheimi,Wiedersheim's Montane Chameleon,REPTILIA,DD
Kinyongia carpenteri,Helmeted Chameleon,REPTILIA,NT
Trioceros bitaeniatus,Two-striped Chameleon,REPTILIA,LC
Trioceros quadricornis,Four-horned Chameleon,REPTILIA,VU
Trioceros pfefferi,Bakossi Two-horned Chameleon,REPTILIA,EN
Trioceros johnstoni,Johnston's Three-Horned Chameleon,REPTILIA,LC
Kinyongia adolfifriderici,Ituri Chameleon,REPTILIA,LC
Trioceros oweni,Owen's Three-horned Chameleon,REPTILIA,LC
Trioceros ellioti,Elliot's Groove-throated Chameleon,REPTILIA,LC
Phrynobatrachus chukuchuku,Spiny Puddle Frog,AMPHIBIA,CR
Xenopus itombwensis,Itombwe Massif Clawed Frog,AMPHIBIA,EN
Aparallactus capensis,Black-headed Centipede-eater,REPTILIA,LC
Trioceros chapini,Chapin's Chameleon,REPTILIA,LC
Chamaeleo dilepis,Common African Flap-necked Chameleon,REPTILIA,LC
Trioceros cristatus,Sail Backed Chameleon,REPTILIA,LC
Trioceros feae,Bioko Montane Chameleon,REPTILIA,NT
Trioceros montium,Cameroon Two-horned Mountain Chameleo,REPTILIA,NT
Rhampholeon spectrum,Western Pygmy Chameleon,REPTILIA,LC
Dasypeltis fasciata,Western Forest Egg Eater,REPTILIA,LC
Dasypeltis scabra,Rhombic Egg Eater,REPTILIA,LC
Duberria lutrix,Common Slug Eater,REPTILIA,LC
Gonionotophis grantii,Grant's File Snake,REPTILIA,LC
Trioceros ituriensis,Ituri Forest Chameleon,REPTILIA,LC
Natriciteres olivacea,Olive Marsh Snake,REPTILIA,LC
Platyceps florulentus,Flower's Racer,REPTILIA,LC
Psammophylax tritaeniatus,Striped Grass Snake,REPTILIA,LC
Dendroaspis polylepis,Black Mamba,REPTILIA,LC
Panaspis annobonensis,Annobon Lidless Skink,REPTILIA,CR
Trachylepis margaritifer,Rainbow Skink,REPTILIA,LC
Varanus exanthematicus,Savannah Monitor,REPTILIA,LC
Congolacerta vauereselli,Sparse-scaled Forest Lizard,REPTILIA,LC
Mochlus guineensis,Guinean Forest Skink,REPTILIA,LC
Mochlus sundevallii,Sundevall's Writhing Skink,REPTILIA,LC
Panaspis togoensis,Togo Skink,REPTILIA,LC
Arthroleptis perreti,Perret's Squeaker Frog,AMPHIBIA,EN
Trioceros camerunensis,Cameroon Dwarf Chameleon,REPTILIA,LC
Trioceros perreti,Perret's Montane Chameleon,REPTILIA,EN
Hemitheconyx caudicinctus,Fat-tail Gecko,REPTILIA,LC
Atractaspis dahomeyensis,Mole Viper,REPTILIA,LC
Naja katiensis,Mali Cobra,REPTILIA,LC
Xenopus lenduensis,Lendu Plateau Clawed Frog,AMPHIBIA,CR
Sclerophrys channingi,Channing's Toad,AMPHIBIA,LC
Arthroleptis bioko,Bioko Squeaker Frog,AMPHIBIA,EN
Arthroleptis palava,Problem Squeaker Frog,AMPHIBIA,LC
Hyperolius nitidulus,Plain Reed Frog ,AMPHIBIA,LC
Tomopterna cryptotis,Catequero Bullfrog,AMPHIBIA,LC
Peliperdix coqui,Coqui Francolin,AVES,LC
Peliperdix albogularis,White-throated Francolin,AVES,LC
Peliperdix schlegelii,Schlegel's Francolin,AVES,LC
Peliperdix lathami,Forest Francolin,AVES,LC
Dendroperdix sephaena,Crested Francolin,AVES,LC
Scleroptila streptophora,Ring-necked Francolin,AVES,NT
Scleroptila finschi,Finsch's Francolin,AVES,LC
Scleroptila levaillantii,Red-winged Francolin,AVES,LC
Ptilopachus nahani,Nahan's Partridge,AVES,VU
Pternistis bicalcaratus,Double-spurred Francolin,AVES,LC
Pternistis clappertoni,Clapperton's Francolin,AVES,LC
Pternistis icterorhynchus,Heuglin's Francolin,AVES,LC
Pternistis hildebrandti,Hildebrandt's Francolin,AVES,LC
Pternistis squamatus,Scaly Francolin,AVES,LC
Pternistis afer,Red-necked Francolin,AVES,LC
Pternistis nobilis,Handsome Francolin,AVES,LC
Pternistis camerunensis,Mount Cameroon Francolin,AVES,EN
Coturnix coturnix,Common Quail,AVES,LC
Coturnix delegorguei,Harlequin Quail,AVES,LC
Synoicus adansonii,African Blue Quail,AVES,LC
Ptilopachus petrosus,Stone Partridge,AVES,LC
Afropavo congensis,Congo Peafowl,AVES,VU
Agelastes niger,Black Guineafowl,AVES,LC
Numida meleagris,Helmeted Guineafowl,AVES,LC
Guttera plumifera,Plumed Guineafowl,AVES,LC
Dendrocygna bicolor,Fulvous Whistling-duck,AVES,LC
Dendrocygna viduata,White-faced Whistling-duck,AVES,LC
Thalassornis leuconotus,White-backed Duck,AVES,LC
Oxyura maccoa,Maccoa Duck,AVES,VU
Alopochen aegyptiaca,Egyptian Goose,AVES,LC
Plectropterus gambensis,Spur-winged Goose,AVES,LC
Pteronetta hartlaubii,Hartlaub's Duck,AVES,LC
Nettapus auritus,African Pygmy-goose,AVES,LC
Anas capensis,Cape Teal,AVES,LC
Mareca strepera,Gadwall,AVES,LC
Mareca penelope,Eurasian Wigeon,AVES,LC
Anas sparsa,African Black Duck,AVES,LC
Anas undulata,Yellow-billed Duck,AVES,LC
Spatula smithii,Cape Shoveler,AVES,LC
Spatula clypeata,Northern Shoveler,AVES,LC
Anas erythrorhyncha,Red-billed Teal,AVES,LC
Anas acuta,Northern Pintail,AVES,LC
Spatula querquedula,Garganey,AVES,LC
Spatula hottentota,Hottentot Teal,AVES,LC
Marmaronetta angustirostris,Marbled Teal,AVES,VU
Netta erythrophthalma,Southern Pochard,AVES,LC
Aythya ferina,Common Pochard,AVES,VU
Aythya nyroca,Ferruginous Duck,AVES,NT
Aythya fuligula,Tufted Duck,AVES,LC
Turnix sylvaticus,Common Buttonquail,AVES,LC
Ortyxelos meiffrenii,Quail-plover,AVES,LC
Indicator maculatus,Spotted Honeyguide,AVES,LC
Indicator variegatus,Scaly-throated Honeyguide,AVES,LC
Indicator indicator,Greater Honeyguide,AVES,LC
Indicator minor,Lesser Honeyguide,AVES,LC
Indicator willcocksi,Willcocks's Honeyguide,AVES,LC
Indicator exilis,Least Honeyguide,AVES,LC
Indicator pumilio,Dwarf Honeyguide,AVES,NT
Indicator meliphilus,Pallid Honeyguide,AVES,LC
Melichneutes robustus,Lyre-tailed Honeyguide,AVES,LC
Melignomon eisentrauti,Yellow-footed Honeyguide,AVES,NT
Melignomon zenkeri,Zenker's Honeyguide,AVES,LC
Prodotiscus insignis,Cassin's Honeybird,AVES,LC
Prodotiscus zambesiae,Green-backed Honeybird,AVES,LC
Prodotiscus regulus,Brown-backed Honeybird,AVES,LC
Jynx torquilla,Eurasian Wryneck,AVES,LC
Jynx ruficollis,Rufous-necked Wryneck,AVES,LC
Verreauxia africana,African Piculet,AVES,LC
Campethera punctuligera,Fine-spotted Woodpecker,AVES,LC
Campethera nubica,Nubian Woodpecker,AVES,LC
Campethera abingoni,Golden-tailed Woodpecker,AVES,LC
Campethera maculosa,Little Green Woodpecker,AVES,LC
Campethera cailliautii,Little Spotted Woodpecker,AVES,LC
Campethera nivosa,Buff-spotted Woodpecker,AVES,LC
Campethera caroli,Brown-eared Woodpecker,AVES,LC
Dendropicos elachus,Sahelian Woodpecker,AVES,LC
Dendropicos poecilolaemus,Speckle-breasted Woodpecker,AVES,LC
Dendropicos fuscescens,Cardinal Woodpecker,AVES,LC
Dendropicos lugubris,Melancholy Woodpecker,AVES,LC
Dendropicos namaquus,Bearded Woodpecker,AVES,LC
Dendropicos pyrrhogaster,Fire-bellied Woodpecker,AVES,LC
Dendropicos xantholophus,Yellow-crested Woodpecker,AVES,LC
Dendropicos griseocephalus,Olive Woodpecker,AVES,LC
Dendropicos obsoletus,Brown-backed Woodpecker,AVES,LC
Gymnobucco peli,Bristle-nosed Barbet,AVES,LC
Gymnobucco sladeni,Sladen's Barbet,AVES,LC
Stactolaema anchietae,Anchieta's Barbet,AVES,LC
Stactolaema whytii,Whyte's Barbet,AVES,LC
Pogoniulus scolopaceus,Speckled Tinkerbird,AVES,LC
Pogoniulus coryphaea,Western Green Tinkerbird,AVES,LC
Pogoniulus atroflavus,Red-rumped Tinkerbird,AVES,LC
Pogoniulus subsulphureus,Yellow-throated Tinkerbird,AVES,LC
Pogoniulus bilineatus,Yellow-rumped Tinkerbird,AVES,LC
Pogoniulus chrysoconus,Yellow-fronted Tinkerbird,AVES,LC
Buccanodon duchaillui,Yellow-spotted Barbet,AVES,LC
Tricholaema hirsuta,Hairy-breasted Barbet,AVES,LC
Tricholaema frontata,Miombo Pied Barbet,AVES,LC
Tricholaema lacrymosa,Spot-flanked Barbet,AVES,LC
Lybius vieilloti,Vieillot's Barbet,AVES,LC
Lybius guifsobalito,Black-billed Barbet,AVES,LC
Lybius torquatus,Black-collared Barbet,AVES,LC
Pogonornis bidentatus,Double-toothed Barbet,AVES,LC
Pogonornis dubius,Bearded Barbet,AVES,LC
Pogonornis rolleti,Black-breasted Barbet,AVES,LC
Trachyphonus vaillantii,Crested Barbet,AVES,LC
Trachyphonus margaritatus,Yellow-breasted Barbet,AVES,LC
Lophoceros camurus,Dwarf Hornbill,AVES,LC
Lophoceros alboterminatus,Crowned Hornbill,AVES,LC
Lophoceros nasutus,African Grey Hornbill,AVES,LC
Lophoceros pallidirostris,Pale-billed Hornbill,AVES,LC
Bycanistes bucinator,Trumpeter Hornbill,AVES,LC
Bycanistes subcylindricus,Grey-cheeked Hornbill,AVES,LC
Bycanistes albotibialis,White-thighed Hornbill,AVES,LC
Ceratogymna atrata,Black-casqued Hornbill,AVES,LC
Ceratogymna elata,Yellow-casqued Hornbill,AVES,VU
Bucorvus abyssinicus,Northern Ground-hornbill,AVES,VU
Bucorvus leadbeateri,Southern Ground-hornbill,AVES,VU
Upupa epops,Common Hoopoe,AVES,LC
Phoeniculus purpureus,Green Woodhoopoe,AVES,LC
Phoeniculus bollei,White-headed Woodhoopoe,AVES,LC
Rhinopomastus castaneiceps,Forest Scimitarbill,AVES,LC
Rhinopomastus aterrimus,Black Scimitarbill,AVES,LC
Rhinopomastus cyanomelas,Common Scimitarbill,AVES,LC
Apaloderma narina,Narina Trogon,AVES,LC
Apaloderma aequatoriale,Bare-cheeked Trogon,AVES,LC
Apaloderma vittatum,Bar-tailed Trogon,AVES,LC
Coracias garrulus,European Roller,AVES,LC
Coracias abyssinicus,Abyssinian Roller,AVES,LC
Coracias caudatus,Lilac-breasted Roller,AVES,LC
Coracias spatulatus,Racquet-tailed Roller,AVES,LC
Coracias naevius,Purple Roller,AVES,LC
Coracias cyanogaster,Blue-bellied Roller,AVES,LC
Eurystomus glaucurus,Broad-billed Roller,AVES,LC
Eurystomus gularis,Blue-throated Roller,AVES,LC
Alcedo semitorquata,Half-collared Kingfisher,AVES,LC
Alcedo quadribrachys,Shining-blue Kingfisher,AVES,LC
Corythornis leucogaster,White-bellied Kingfisher,AVES,LC
Ispidina picta,African Pygmy-kingfisher,AVES,LC
Ispidina lecontei,African Dwarf-kingfisher,AVES,LC
Halcyon badia,Chocolate-backed Kingfisher,AVES,LC
Halcyon leucocephala,Grey-headed Kingfisher,AVES,LC
Halcyon senegalensis,Woodland Kingfisher,AVES,LC
Halcyon malimbica,Blue-breasted Kingfisher,AVES,LC
Halcyon albiventris,Brown-hooded Kingfisher,AVES,LC
Halcyon chelicuti,Striped Kingfisher,AVES,LC
Megaceryle maxima,Giant Kingfisher,AVES,LC
Ceryle rudis,Pied Kingfisher,AVES,LC
Merops gularis,Black Bee-eater,AVES,LC
Merops bulocki,Red-throated Bee-eater,AVES,LC
Merops bullockoides,White-fronted Bee-eater,AVES,LC
Merops pusillus,Little Bee-eater,AVES,LC
Merops oreobates,Cinnamon-chested Bee-eater,AVES,LC
Merops hirundineus,Swallow-tailed Bee-eater,AVES,LC
Merops breweri,Black-headed Bee-eater,AVES,LC
Merops albicollis,White-throated Bee-eater,AVES,LC
Merops boehmi,Böhm's Bee-eater,AVES,LC
Merops persicus,Blue-cheeked Bee-eater,AVES,LC
Merops superciliosus,Olive Bee-eater,AVES,LC
Merops apiaster,European Bee-eater,AVES,LC
Merops malimbicus,Rosy Bee-eater,AVES,LC
Merops nubicus,Northern Carmine Bee-eater,AVES,LC
Merops nubicoides,Southern Carmine Bee-eater,AVES,LC
Colius striatus,Speckled Mousebird,AVES,LC
Colius castanotus,Red-backed Mousebird,AVES,LC
Urocolius macrourus,Blue-naped Mousebird,AVES,LC
Urocolius indicus,Red-faced Mousebird,AVES,LC
Clamator jacobinus,Jacobin Cuckoo,AVES,LC
Clamator levaillantii,Levaillant's Cuckoo,AVES,LC
Clamator glandarius,Great Spotted Cuckoo,AVES,LC
Pachycoccyx audeberti,Thick-billed Cuckoo,AVES,LC
Cuculus solitarius,Red-chested Cuckoo,AVES,LC
Cuculus clamosus,Black Cuckoo,AVES,LC
Cuculus canorus,Common Cuckoo,AVES,LC
Cuculus gularis,African Cuckoo,AVES,LC
Cuculus poliocephalus,Lesser Cuckoo,AVES,LC
Cuculus rochii,Madagascar Cuckoo,AVES,LC
Cercococcyx mechowi,Dusky Long-tailed Cuckoo,AVES,LC
Cercococcyx olivinus,Olive Long-tailed Cuckoo,AVES,LC
Cercococcyx montanus,Barred Long-tailed Cuckoo,AVES,LC
Chrysococcyx flavigularis,Yellow-throated Cuckoo,AVES,LC
Chrysococcyx klaas,Klaas's Cuckoo,AVES,LC
Chrysococcyx cupreus,African Emerald Cuckoo,AVES,LC
Chrysococcyx caprius,Diederik Cuckoo,AVES,LC
Centropus grillii,Black Coucal,AVES,LC
Centropus leucogaster,Black-throated Coucal,AVES,LC
Centropus anselli,Gabon Coucal,AVES,LC
Centropus monachus,Blue-headed Coucal,AVES,LC
Centropus cupreicaudus,Coppery-tailed Coucal,AVES,LC
Centropus senegalensis,Senegal Coucal,AVES,LC
Centropus superciliosus,White-browed Coucal,AVES,LC
Poicephalus gulielmi,Red-fronted Parrot,AVES,LC
Poicephalus senegalus,Senegal Parrot,AVES,LC
Poicephalus crassus,Niam-niam Parrot,AVES,LC
Poicephalus meyeri,Brown Parrot,AVES,LC
Agapornis pullarius,Red-headed Lovebird,AVES,LC
Agapornis swindernianus,Black-collared Lovebird,AVES,LC
Psittacula krameri,Rose-ringed Parakeet,AVES,LC
Telacanthura ussheri,Mottled Spinetail,AVES,LC
Telacanthura melanopygia,Black Spinetail,AVES,LC
Rhaphidura sabini,Sabine's Spinetail,AVES,LC
Neafrapus cassini,Cassin's Spinetail,AVES,LC
Neafrapus boehmi,Böhm's Spinetail,AVES,LC
Tachymarptis melba,Alpine Swift,AVES,LC
Tachymarptis aequatorialis,Mottled Swift,AVES,LC
Apus apus,Common Swift,AVES,LC
Apus niansae,Nyanza Swift,AVES,LC
Apus pallidus,Pallid Swift,AVES,LC
Apus barbatus,African Swift,AVES,LC
Apus sladeniae,Fernando Po Swift,AVES,DD
Apus affinis,Little Swift,AVES,LC
Apus caffer,White-rumped Swift,AVES,LC
Apus batesi,Bates's Swift,AVES,LC
Tauraco persa,Green Turaco,AVES,LC
Tauraco schuettii,Black-billed Turaco,AVES,LC
Tauraco schalowi,Schalow's Turaco,AVES,LC
Tauraco bannermani,Bannerman's Turaco,AVES,EN
Tauraco macrorhynchus,Yellow-billed Turaco,AVES,LC
Tauraco leucolophus,White-crested Turaco,AVES,LC
Gallirex johnstoni,Ruwenzori Turaco,AVES,LC
Musophaga violacea,Violet Turaco,AVES,LC
Musophaga rossae,Ross's Turaco,AVES,LC
Corythaixoides concolor,Grey Go-away-bird,AVES,LC
Crinifer piscator,Western Plantain-eater,AVES,LC
Crinifer zonurus,Eastern Plantain-eater,AVES,LC
Corythaeola cristata,Great Blue Turaco,AVES,LC
Tyto alba,Common Barn-owl,AVES,LC
Tyto capensis,African Grass-owl,AVES,LC
Phodilus prigoginei,Congo Bay-owl,AVES,EN
Otus icterorhynchus,Sandy Scops-owl,AVES,LC
Bubo shelleyi,Shelley's Eagle-owl,AVES,VU
Bubo lacteus,Verreaux's Eagle-owl,AVES,LC
Bubo leucostictus,Akun Eagle-owl,AVES,LC
Scotopelia peli,Pel's Fishing-owl,AVES,LC
Scotopelia bouvieri,Vermiculated Fishing-owl,AVES,LC
Strix woodfordii,African Wood-owl,AVES,LC
